"SYMBOL","ORDER_NO","STATEMENT_DATE","SELLING_GENERAL_AND_ADMINIST","EXTRAORDINARY_ITEMS","GROSS_PROFIT","EFFECT_OF_ACCOUNTING_CHANGES","OTHER_ITEMS","TOTAL_OPERATING_EXPENSES","TOTAL_OTHER_INCOM_TO_EXPEN_NET","PREFER_STOCK_AND_OTHER_ADJUSTM","INCOME_TAX_EXPENSE","TOTAL_REVENUE","NET_INCOME","COST_OF_REVENUE","RESEARCH_DEVELOPMENT","OTHERS","OPERATING_INCOME_OR_LOSS","DISCONTINUED_OPERATIONS","EARNIN_BEFORE_INTERE_AND_TAXES","INCOME_BEFORE_TAX","MINORITY_INTEREST","NET_INCOM_APPLI_TO_COMMO_SHARE","NON_RECURRING","INTEREST_EXPENSE","NET_INCOME_FROM_CONTINUING_OPS"
"TECD",1,31-JAN-15,"1124989","","1393954","","","","-3233","","64012","27670632","175172","26276678","","","267635","","265732","239184","","175172","","26548","175172"
"TECD",2,31-JAN-16,"884534","","1286661","","","","-5221","","116682","26379783","265736","25093122","","","401428","","396906","382418","","265736","","14488","265736"
"TECH",0,30-JUN-13,"43384","","231110","","","","2193","","48101","310575","112561","79465","29257","","158469","","160662","160662","","112561","","","112561"
"TECH",1,30-JUN-14,"60716","","251411","","","","1642","","50444","357763","110948","106352","30945","","159750","","161392","161392","","110948","","","110948"
"TECH",2,30-JUN-15,"119401","","307277","","","","8683","","46427","452246","107735","144969","40853","","147023","","155706","154162","","107735","","1544","107735"
"TEDU",0,31-DEC-13,"46476","","63766","","","","2835","-44360","2271","92834","14047","29068","3807","","13483","","16318","16318","","-30313","","","14047"
"TEDU",1,31-DEC-14,"72510","","97124","","","","7928","-576","2405","136204","24691","39080","5446","","19168","","27096","27096","","24115","","","24691"
"TEDU",2,31-DEC-15,"102183","","135620","","","","4022","","637","189190","28709","53570","8113","","25324","","29346","29346","","28709","","","28709"
"TEF",0,31-DEC-13,"26611000","","50694000","","","","1042000","","1655000","69652000","6329000","18958000","","11873000","12210000","609000","12851000","7893000","8677000","6329000","","4958000","6238000"
"TEF",1,31-DEC-14,"21693000","","38368000","","","","824000","","315000","52586000","3631000","14218000","","8992000","7684000","531000","7905000","3718000","11116000","3631000","","4187000","3404000"
"TEF",2,31-DEC-15,"24871000","","37270000","","","","1976000","","14000","51294000","2982000","14024000","","9252000","3147000","2805000","5118000","338000","10499000","2982000","","4780000","324000"
"TSRA",1,31-DEC-14,"47208","","278423","","","112727","1550","","-7697","278807","170454","384","32270","18471","165696","-4489","167246","167246","","170454","14778","","174943"
